bigger_is_more_dangerous,bigger_is_living,smaller_is_living
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,TRUE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,TRUE,FALSE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,TRUE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
TRUE,FALSE,FALSE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,TRUE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,TRUE,FALSE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,TRUE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
FALSE,FALSE,FALSE
